sensors.id,sensors.carId,sensors.carLocation,sensors.timeValue,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.altitude,sensors.tags,sensors.classification
1387,VP-35-44,41.5608 -8.3968,2020-12-04 20:10:30,3.9,7.1,21.273359375,58580,47.2741320123104,989.4696032777076,199.89634428480247,"Não existência de fumo, janelas fechads, AC desligado",0
4135,66-ZZ-66,41.5608 -8.3968,2020-12-15 17:34:58,3.9,16.0,18.3333203125,61557,55.16999684763088,990.0430498685556,195.0304532552284,"Não existência de fumo, vidros abertos, AC desligado",0
4805,66-ZZ-66,41.5608 -8.3968,2020-12-15 17:53:10,2.6,21.9,17.7563671875,13375,61.54640453778346,1005.8232158356192,62.017355627691686,"Não existência de fumo, vidros abertos, AC desligado",0
8023,66-ZZ-66,41.5608 -8.3968,2020-12-18 19:47:51,8.0,10.9,15.6087109375,181224,58.02064679486281,996.3884690179945,141.3391629610636,"Não existência de fumo, vidros fechados, AC desligado",0
3988,66-ZZ-66,41.5608 -8.3968,2020-12-15 09:51:53,4.5,10.0,13.6481640625,59971,72.49948578154802,993.1224791329532,168.93940246938192,"Não existência de fumo, vidros fechados, AC ligado",0
8775,66-ZZ-66,41.5608 -8.3968,2020-12-18 20:04:08,3.6,6.7,23.7266796875,155563,35.869053361090565,997.655810410372,130.64883491762922,"Não existência de fumo, vidros fechados, AC desligado",0
937,66-ZZ-66,41.5608 -8.3968,2020-12-03 21:51:33,0.8,4.2,21.4739453125,54173,48.3256822266429,958.760924751326,463.86862893133423,"Não existência de fumo, vidros fechados, AC ligado",0
3732,66-ZZ-66,41.5608 -8.3968,2020-12-14 18:11:58,11.1,20.9,12.9258984375,58775,72.6879628583398,981.908163507318,264.2722781746279,"Não existência de fumo, vidros fechados, AC ligado",0
5097,66-ZZ-66,41.5608 -8.3968,2020-12-16 09:47:16,3.6,7.1,14.516328125,133692,72.06464622439863,994.522427322444,157.09972899631242,"Não existência de fumo, vidros abertos, AC desligado",0
5508,66-ZZ-66,41.5608 -8.3968,2020-12-17 16:42:08,7.6,19.5,17.556953125,113673,62.98513808340085,995.6599305617912,147.48954386664445,"Não existência de fumo, vidros abertos, AC desligado",0
5607,66-ZZ-66,41.5608 -8.3968,2020-12-17 16:48:44,12.1,21.7,17.156953125,120734,63.964585265866745,1008.1498927818358,42.54867102571147,"Não existência de fumo, vidros abertos, AC desligado",0
4579,66-ZZ-66,41.5608 -8.3968,2020-12-15 17:54:10,5.6,13.7,14.31046875,148885,69.89064734156274,1002.3620098892756,91.04689744746535,"Não existência de fumo, vidros abertos, AC desligado",0
8905,66-ZZ-66,41.5608 -8.3968,2020-12-18 20:24:05,4.6,10.1,22.696796875,117213,51.752815967934616,989.4724114352642,199.8725105418748,"Não existência de fumo, vidros fechados, AC desligado",0
7392,66-ZZ-66,41.5608 -8.3968,2020-12-18 19:17:34,2.5,4.6,20.5430859375,153671,50.49675252206356,992.2277395499704,176.51349463445962,"Não existência de fumo, vidros fechados, AC desligado",0
5690,66-ZZ-66,41.5608 -8.3968,2020-12-17 22:51:07,6.5,10.6,19.96984375,62514,63.36755614667975,1019.6242658071612,-52.93546855990756,"Não existência de fumo, vidros abertos, AC desligado",0
8526,66-ZZ-66,41.5608 -8.3968,2020-12-18 19:58:44,4.4,7.9,24.4380078125,144506,40.297878785000975,997.58356321269,131.25796168640562,"Não existência de fumo, vidros fechados, AC desligado",0
